trip_id,y_actual_route,y_pred_route,lower_route,upper_route,n_segments,date,direction,interval_width
13261,2552.0,4146.9497,-3390.363097187569,11684.262755390693,34,2024-08-27,1,15074.625852578261
13263,3252.0,5332.2417,-2326.636217885592,12991.119311147311,34,2024-08-27,1,15317.755529032904
13265,5530.0,4408.088,-2583.014475497733,11399.190439853202,32,2024-08-27,1,13982.204915350936
13267,3897.0,3424.8906,-5960.33540695281,12810.116586380911,39,2024-08-27,2,18770.45199333372
13269,5811.0,4931.74,-2139.9204450554003,12003.400654405987,32,2024-08-27,1,14143.321099461387
13271,3750.0,3668.6345,-5418.30872139489,12755.57788166558,39,2024-08-27,2,18173.88660306047
13279,3779.0,3595.3567,-6118.662974724299,13309.376387962824,40,2024-08-27,2,19428.039362687123
13281,4983.0,4929.059,-3255.0776514487693,13113.195792623086,35,2024-08-27,1,16368.273444071856
13287,5341.0,4761.5786,-2954.127279462893,12477.284696760256,34,2024-08-27,1,15431.41197622315
13289,3231.0,3435.4934,-5902.730979456664,12773.71756125903,39,2024-08-27,2,18676.448540715694
13292,2632.0,3106.2124,-5380.9758288858175,11593.400814652228,37,2024-08-27,2,16974.376643538046
13293,5449.0,5667.51,-2573.003135231329,13908.022429970099,35,2024-08-27,1,16481.025565201428
13305,5769.0,5451.8657,-2717.110304278478,13620.84148256217,35,2024-08-27,1,16337.951786840647
13309,5118.0,5075.4136,-3093.5623268309682,13244.38946000968,35,2024-08-27,1,16337.951786840647
13319,3422.0,3616.529,-5470.41435298478,12703.47225007569,39,2024-08-27,2,18173.88660306047
13321,4788.0,4863.066,-3179.9173288651864,12906.048790962353,35,2024-08-27,1,16085.966119827539
13324,4054.0,5297.221,-2943.29161026795,13537.733954933477,35,2024-08-27,1,16481.025565201428
13325,2906.0,3444.12,-5220.004250340467,12108.244544796948,38,2024-08-27,2,17328.248795137413
13327,3029.0,3316.6118,-6419.287159744757,13052.510666672248,40,2024-08-27,2,19471.797826417005
13330,5198.0,4788.7905,-3358.9515093712494,12936.532098665682,35,2024-08-27,1,16295.483608036931
13331,5016.0,4774.1836,-2794.695578486221,12343.06262865712,34,2024-08-27,1,15137.758207143343
13333,2483.0,2921.5637,-5478.760430881562,11321.887733051362,37,2024-08-27,2,16800.648163932925
13335,3372.0,3263.3574,-5207.584305687588,11734.29895107333,37,2024-08-27,2,16941.883256760917
13338,3697.0,3743.1667,-3972.539373579104,11458.872602644045,34,2024-08-27,1,15431.41197622315
13343,3923.0,3596.8423,-5674.264620666775,12867.949345474513,39,2024-08-27,2,18542.213966141288
